Line Number,Label Text,Link,Rising Value
1,Donkey.to movies,https://trends.google.ca/trends/explore?q=donkey.to+movies&date=now+1-d&geo=CA,Breakout
2,Rossif sutherland movies and tv shows,https://trends.google.ca/trends/explore?q=rossif+sutherland+movies+and+tv+shows&date=now+1-d&geo=CA,Breakout
3,Donkey,https://trends.google.ca/trends/explore?q=donkey&date=now+1-d&geo=CA,"+1,400%"
4,Donkey.to,https://trends.google.ca/trends/explore?q=donkey.to&date=now+1-d&geo=CA,+550%
5,Kristin kreuk movies and tv shows,https://trends.google.ca/trends/explore?q=kristin+kreuk+movies+and+tv+shows&date=now+1-d&geo=CA,+350%
6,Eric roberts movies,https://trends.google.ca/trends/explore?q=eric+roberts+movies&date=now+1-d&geo=CA,+250%
7,Margaret qualley movies and tv shows,https://trends.google.ca/trends/explore?q=margaret+qualley+movies+and+tv+shows&date=now+1-d&geo=CA,+180%
8,Eric roberts movies and tv shows,https://trends.google.ca/trends/explore?q=eric+roberts+movies+and+tv+shows&date=now+1-d&geo=CA,+170%
9,Sabrina carpenter movies and tv shows,https://trends.google.ca/trends/explore?q=sabrina+carpenter+movies+and+tv+shows&date=now+1-d&geo=CA,+100%
10,Best horror movies of all time,https://trends.google.ca/trends/explore?q=best+horror+movies+of+all+time&date=now+1-d&geo=CA,+100%
11,Mcu movies in order,https://trends.google.ca/trends/explore?q=mcu+movies+in+order&date=now+1-d&geo=CA,+90%
12,Shailene woodley movies,https://trends.google.ca/trends/explore?q=shailene+woodley+movies&date=now+1-d&geo=CA,+90%
13,Lady gaga movies,https://trends.google.ca/trends/explore?q=lady+gaga+movies&date=now+1-d&geo=CA,+80%
14,Jackie chan movies,https://trends.google.ca/trends/explore?q=jackie+chan+movies&date=now+1-d&geo=CA,+80%
15,Julia roberts movies,https://trends.google.ca/trends/explore?q=julia+roberts+movies&date=now+1-d&geo=CA,+70%
16,Beetlejuice 2,https://trends.google.ca/trends/explore?q=beetlejuice+2&date=now+1-d&geo=CA,+50%
17,New movies coming out,https://trends.google.ca/trends/explore?q=new+movies+coming+out&date=now+1-d&geo=CA,+50%
18,Bruce willis movies,https://trends.google.ca/trends/explore?q=bruce+willis+movies&date=now+1-d&geo=CA,+50%
19,Kaitlin olson movies and tv shows,https://trends.google.ca/trends/explore?q=kaitlin+olson+movies+and+tv+shows&date=now+1-d&geo=CA,+40%
20,Quentin tarantino movies,https://trends.google.ca/trends/explore?q=quentin+tarantino+movies&date=now+1-d&geo=CA,+40%
21,Akshay kumar movies,https://trends.google.ca/trends/explore?q=akshay+kumar+movies&date=now+1-d&geo=CA,+40%
22,Rob zombie movies,https://trends.google.ca/trends/explore?q=rob+zombie+movies&date=now+1-d&geo=CA,+40%
